productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extRetreatCost,extAttack2,extResistance
83446,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83446_200w.jpg,3,1374,https://cpt.tcgcsv.com/XnH,2022-11-29T16:38:34.213,1,067/110,Common,Psychic,30,Basic,"[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,0.34,0.93,9.99,0.89,,Normal,,,,
83446,Abra,Abra,https://tcgplayer-cdn.tcgplayer.com/product/83446_200w.jpg,3,1374,https://cpt.tcgcsv.com/XnH,2022-11-29T16:38:34.213,1,067/110,Common,Psychic,30,Basic,"[P] Psyshock (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",P,65.99,70.5,75.0,61.66,,Reverse Holofoil,,,,
83496,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/83496_200w.jpg,3,1374,https://cpt.tcgcsv.com/XpH,2022-11-29T16:40:07.343,1,001/110,Holo Rare,Psychic,80,Stage 2,"[PPP] Confuse Ray (30)
<br>Flip a coin. Flip a coin. If heads, the Defending Pokémon is now Confused.",P,49.99,76.99,79.97,45.29,,Holofoil,"<strong>Pokémon Power: Damage Swap</strong> As often as you like during your turn <em>(before your attack)</em>, you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is affected by a Special Condition.",3,,
83496,Alakazam,Alakazam,https://tcgplayer-cdn.tcgplayer.com/product/83496_200w.jpg,3,1374,https://cpt.tcgcsv.com/XpH,2022-11-29T16:40:07.343,1,001/110,Holo Rare,Psychic,80,Stage 2,"[PPP] Confuse Ray (30)
<br>Flip a coin. Flip a coin. If heads, the Defending Pokémon is now Confused.",P,225.99,357.5,500.0,245.83,449.99,Reverse Holofoil,"<strong>Pokémon Power: Damage Swap</strong> As often as you like during your turn <em>(before your attack)</em>, you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is affected by a Special Condition.",3,,
83581,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83581_200w.jpg,3,1374,https://cpt.tcgcsv.com/FrH,2025-11-24T21:43:14.69,1,036/110,Uncommon,Fire,100,Stage 1,"[1RR] Flamethrower (50)
<br>Discard 1 Fire Energy card attached to Arcanine or this attack does nothing.",W,1.37,3.12,29.99,4.15,29.99,Normal,,3,"[2RR] Take Down (80)
<br>Arcanine does 30 damage to itself.",
83581,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83581_200w.jpg,3,1374,https://cpt.tcgcsv.com/FrH,2025-11-24T21:43:14.69,1,036/110,Uncommon,Fire,100,Stage 1,"[1RR] Flamethrower (50)
<br>Discard 1 Fire Energy card attached to Arcanine or this attack does nothing.",W,125.0,184.98,250.0,119.15,,Reverse Holofoil,,3,"[2RR] Take Down (80)
<br>Arcanine does 30 damage to itself.",
83643,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83643_200w.jpg,3,1374,https://cpt.tcgcsv.com/TsH,2022-11-29T16:44:06.95,1,002/110,Holo Rare,Water,70,Basic,"[WWW] Freeze Dry (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,24.99,33.1,94.53,27.19,,Holofoil,,2,"[WWWW] Blizzard (50)
<br>Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",F-30
83643,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83643_200w.jpg,3,1374,https://cpt.tcgcsv.com/TsH,2022-11-29T16:44:06.95,1,002/110,Holo Rare,Water,70,Basic,"[WWW] Freeze Dry (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,114.99,119.98,121.18,181.22,,Reverse Holofoil,,2,"[WWWW] Blizzard (50)
<br>Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",F-30
83768,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83768_200w.jpg,3,1374,https://cpt.tcgcsv.com/nwH,2022-11-29T16:45:54.743,1,020/110,Rare,Grass,80,Stage 2,"[3] Twineedle (30x)
<br>Flip 2 coins. This attack does 30 times number of heads.",R,2.16,4.87,6.09,4.87,,Normal,,,"[GGG] Poison Sting (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",F-30
83768,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83768_200w.jpg,3,1374,https://cpt.tcgcsv.com/nwH,2022-11-29T16:45:54.743,1,020/110,Rare,Grass,80,Stage 2,"[3] Twineedle (30x)
<br>Flip 2 coins. This attack does 30 times number of heads.",R,100.0,137.12,299.99,110.0,,Reverse Holofoil,,,"[GGG] Poison Sting (40)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",F-30
